?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/CHEBI_83820>	"Any amino-acid that is not naturally encoded in the genetic code of any organism."	"Wikipedia:Non-proteinogenic_amino_acids"
<http://purl.obolibrary.org/obo/FBcv_0000424>	"Phenotype that is a change in the amount of cell death in a whole animal or in some specific organ tissue or clone of cells compared to wild-type. This may be due to effects on the regulation of cell death (GO:0010941) or in cell death (GO:0008219) pathways themselves."	
<http://purl.obolibrary.org/obo/CHEBI_37838>	"A carboacyl group is a group formed by loss of at least one OH from the carboxy group of a carboxylic acid."	
<http://purl.obolibrary.org/obo/FBcv_0000103>	"20-70% of egg length from the posterior tip (0%) of the egg or pre-gastrula embryo."	
<http://purl.obolibrary.org/obo/FBcv_0005081>	"Engineered sequence that forms all or part of a transgenic locus or modified endogenous locus and that has the property of a 'regulatory_region' (SO:0005836). 'regulatory_region' is defined as 'A region of sequence that is involved in the control of a biological process."	
<http://purl.obolibrary.org/obo/CHEBI_23019>		
<http://purl.obolibrary.org/obo/CHEBI_51214>		
<http://purl.obolibrary.org/obo/FBcv_0007554>	"Phenotype that is a decrease in any kind of rate (e.g. speed, frequency) of jump response (GO:0007630). 'jump response' is defined as: 'The sudden, usually upward, movement off the ground or other surface through sudden muscular effort in the legs, following exposure to an external stimulus.'."	
<http://purl.obolibrary.org/obo/FBcv_0000625>	"Genotype g1 is a non-enhancer of genotype g2 if (and only if) the phenotype due to the genotype g1g2 is not more severe than the sum of phenotypes due to g1 and g2, where all comparisons are under identical environmental conditions."	
<http://purl.obolibrary.org/obo/CHEBI_33747>		
<http://purl.obolibrary.org/obo/FBcv_0000147>	"Expression in even, but not odd numbered segment of the blastoderm."	
<http://purl.obolibrary.org/obo/CHEBI_64915>	"An antiparasitic drug which is effective against Apicomplexan parasites in the genus Plasmodium. The genus contains over 200 species and includes those responsible for malaria."	
<http://purl.obolibrary.org/obo/CHEBI_17568>	"A common and naturally occurring pyrimidine nucleobase in which the pyrimidine ring is substituted with two oxo groups at positions 2 and 4. Found in RNA, it base pairs with adenine and replaces thymine during DNA transcription."	"KEGG:D00027 PDBeChem:URA MetaCyc:URACIL DrugBank:DB03419 KEGG:C00106 Wikipedia:Uracil KNApSAcK:C00001513 HMDB:HMDB0000300"
<http://purl.obolibrary.org/obo/CHEBI_39446>		
<http://purl.obolibrary.org/obo/FBcv_0007530>	"Phenotype that is an increase in the efficacy of learning (GO:0007612), relative to controls. 'learning' is defined as: 'Any process in an organism in which a relatively long-lasting adaptive behavioral change occurs as the result of experience.'"	
<http://purl.obolibrary.org/obo/CHEBI_58954>	"Any saturated fatty acid anion lacking a carbon side-chain."	
<http://purl.obolibrary.org/obo/FBcv_0003087>	"The result of extensive sequence alignment and merging to produce a genome assembly that serves as the current reference for a particular organism."	
<http://purl.obolibrary.org/obo/FBcv_0000118>	"40-70% of egg length from the posterior tip (0%) of the egg or pre-gastrula embryo."	
<http://purl.obolibrary.org/obo/FBcv_0000653>	"Restricted to unknown subtype(s) of a specified type."	
<http://purl.obolibrary.org/obo/FBcv_0000545>	"A bromoalkane that is ethane carrying bromo substituents at positions 1 and 2. It is produced by marine algae (from CHEBI)."	
<http://purl.obolibrary.org/obo/CHEBI_33702>	"A cation consisting of more than one atom."	
<http://purl.obolibrary.org/obo/CHEBI_50996>	"A compound formally derived from ammonia by replacing three hydrogen atoms by organyl groups."	
<http://purl.obolibrary.org/obo/CHEBI_75772>	"Any  fungal metabolite produced during a metabolic reaction in Baker's yeast (Saccharomyces cerevisiae)."	
<http://purl.obolibrary.org/obo/CHEBI_46883>		"PDBeChem:FMT"
<http://purl.obolibrary.org/obo/FBcv_0000426>	"Phenotype that is a decrease in the amount of cell death in a whole animal or in some specific organ tissue or clone of cells compared to wild-type."	
<http://purl.obolibrary.org/obo/FBcv_0002040>	"A phenotype of a population that is the death of a significant proportion of animals in that population during the prepupal stage."	
<http://purl.obolibrary.org/obo/FBcv_0003065>	"Ribosome profiling, an assay in which mRNA fragments protected by ribosomes are isolated and characterized by high-throughput sequencing."	
<http://purl.obolibrary.org/obo/FBcv_0007523>	"Phenotype that is an increase in the efficacy of anesthesia-resistant memory (GO:0007615) relative to controls. 'anesthesia-resistant memory' is defined as: 'The memory process that results in the formation of consolidated memory resistant to disruption of the patterned activity of the brain, without requiring protein synthesis.'"	
<http://purl.obolibrary.org/obo/FBcv_0000413>	"Phenotype that is any abnormality in phototaxis (GO:0042331). 'phototaxis' is defined as: 'The directed movement of a motile cell or organism in response to light.'"	
<http://purl.obolibrary.org/obo/CHEBI_22213>		
<http://purl.obolibrary.org/obo/FBcv_0005008>	"Protein having well characterized fluorescence excitation and emission spectra, with an emission peak within the wavelength range of 424-467nm."	
<http://purl.obolibrary.org/obo/CHEBI_25697>	"Any organic ion with a net positive charge."	
<http://purl.obolibrary.org/obo/CHEBI_23117>	"A halogen molecular entity containing one or more atoms of chlorine."	
<http://purl.obolibrary.org/obo/CHEBI_139520>	"Any phenol that acts as an electron donor."	"MetaCyc:Phenolic-Donors"
<http://purl.obolibrary.org/obo/CHEBI_36962>	"An organochalcogen compound is a compound containing at least one carbon-chalcogen bond."	
<http://purl.obolibrary.org/obo/FBcv_0005011>	"Protein having well characterized fluorescence excitation and emission spectra, with an emission peak within the wavelength range of 559-572nm."	
<http://purl.obolibrary.org/obo/FBcv_0000157>		
<http://purl.obolibrary.org/obo/FBcv_0010009>		
<http://purl.obolibrary.org/obo/FBcv_0000371>	"A phenotype that is a reduction in the ability of males to produce fertilized eggs as a result of mating to below 50% of wild-type."	
<http://purl.obolibrary.org/obo/FBcv_0000054>	"Restricted to apical region of some specified type."	
<http://purl.obolibrary.org/obo/CHEBI_138015>	"Any compound that can disrupt the functions of the endocrine (hormone) system"	"Wikipedia:Endocrine_disruptor"
<http://purl.obolibrary.org/obo/FBcv_0000086>	"10% of egg length from the posterior tip of the egg or pre-gastrula embryo."	
<http://purl.obolibrary.org/obo/FBcv_0003209>	"A method that uses Sanger sequencing for this assay."	
<http://purl.obolibrary.org/obo/FBcv_0003111>	"A collection of alleles that are available as fly stocks."	
<http://purl.obolibrary.org/obo/CHEBI_17594>	"A benzenediol comprising benzene core carrying two hydroxy substituents para to each other."	"KEGG:D00073 KNApSAcK:C00002656 PPDB:1503 KEGG:C15603 KEGG:C00530 HMDB:HMDB0002434 MetaCyc:HYDROQUINONE Wikipedia:Hydroquinone"
<http://purl.obolibrary.org/obo/CHEBI_25414>		
<http://purl.obolibrary.org/obo/FBcv_0000265>	"Publication in the Lithuanian language."	
<http://purl.obolibrary.org/obo/FBcv_0000685>	"Parental effects describe the dependence of the expression of a phenotypic attribute of an allele on the parent from which that allele is inherited."	
<http://purl.obolibrary.org/obo/FBcv_0000782>	"An allele inferred from genetic evidence to make a normal gene product at increased levels or with increased activity compared to wild-type, where this increased amount or activity is present at low temperatures (non-permissive temperatures) but not higher temperatures (permissive temperatures), and where the genetic evidence consists of the observation that extra copies in the genome increase the expressivity and/or penetrance of the phenotype at the non-permissive temperatures."	
<http://purl.obolibrary.org/obo/CHEBI_22160>	"Compounds with the general formula RNHC(=O)CH3."	
<http://purl.obolibrary.org/obo/CHEBI_22712>	"Any benzenoid aromatic compound consisting of the benzene skeleton and its substituted derivatives."	
<http://purl.obolibrary.org/obo/FBcv_0007013>	"Sequence that forms all or part of the gene product encoded by a transgenic locus or modified endogenous locus and that confers a specific property used to ablate a specific cell or anatomical structure."	
<http://purl.obolibrary.org/obo/FBcv_0007037>	"An immunoglobulin molecule having a specific amino acid sequence that gives each antibody the ability to adhere to and interact with the antigen that induced its synthesis and with molecules containing structures similar to that antigen. An antigen is any substance capable of inducing a specific immune response, including but not limited to toxins, bacterial proteins and viruses."	"XCO:0000194"
<http://purl.obolibrary.org/obo/CHEBI_33749>		
<http://purl.obolibrary.org/obo/FBcv_0005039>	"Sequence that forms part of the gene product encoded by a transgenic locus or modified endogenous locus and which results in the activity of the tagged gene product being regulated in response to irradiation with a pulse of light."	
<http://purl.obolibrary.org/obo/FBcv_0007536>	"Phenotype that is an increase in any kind of rate (e.g. speed, frequency) of adult walking behavior (GO:0007628). 'adult walking behavior' is defined as: 'The behavior of an adult relating to the progression of that organism along the ground by the process of lifting and setting down each leg.'."	
<http://purl.obolibrary.org/obo/FBcv_0000814>	"A methanesulfonate ester that is butane-1,4-diol in which the hydrogens of the hydroxy groups are replaced by methanesulfonyl groups. An alkylating antineoplastic agent, it is used for the treatment of chronic myeloid leukemia (although it has been largely replaced by newer drugs). It is also used as an insect sterilant (from CHEBI)."	
<http://purl.obolibrary.org/obo/CHEBI_50908>	"A role played by a chemical compound exihibiting itself through the ability to induce damage to the liver in animals."	
<http://purl.obolibrary.org/obo/FBcv_0005036>	"Sequence that forms part of the gene product encoded by a transgenic locus or modified endogenous locus and confers a specific, novel property that facilitates purification of the gene product and/or any associated macromolecular complex by an experimental method."	
<http://purl.obolibrary.org/obo/CHEBI_59897>	"A DNA polymerase inhibitor that interferes with the activity of reverse transcriptase, EC 2.7.7.49, a viral DNA polymerase enzyme that retroviruses need in order to reproduce."	"Wikipedia:Reverse-transcriptase_inhibitor"
<http://purl.obolibrary.org/obo/FBcv_0000662>	"A stock established from flies collected in the wild within the past 3 years."	
<http://purl.obolibrary.org/obo/FBcv_0000156>		
<http://purl.obolibrary.org/obo/CHEBI_26820>	"Salts and esters of sulfuric acid"	
<http://purl.obolibrary.org/obo/CHEBI_32495>	"An optically active form of phenylalaninium having D-configuration."	
<http://purl.obolibrary.org/obo/CHEBI_60895>	"Any alpha-amino acid anion in which the parent amino acid has D-configuration."	
<http://purl.obolibrary.org/obo/FBcv_0000780>	"An allele that, at low temperatures but not higher temperatures, makes a gene product with normal function but at higher levels or with higher activity than in wild-type.."	
<http://purl.obolibrary.org/obo/CHEBI_29036>	"An ion of copper carrying a double positive charge."	"PDBeChem:CU"
<http://purl.obolibrary.org/obo/FBcv_0000394>	"Phenotype that is any abnormality in circadian rhythm (GO:0007623). 'circadian rhythm' is defined as: 'Any biological process in an organism that recurs with a regularity of approximately 24 hours.'"	
<http://purl.obolibrary.org/obo/CHEBI_33560>	"Any main group element atom belonging to the p-block of the periodic table."	
<http://purl.obolibrary.org/obo/CHEBI_50893>		
<http://purl.obolibrary.org/obo/FBcv_0000154>	"A phenotypic effect which is not expressed in/limited to cells of the mutant genetic constitution under investigation is said to be cell non-autonomous."	
<http://purl.obolibrary.org/obo/CHEBI_75767>	"Any eukaryotic metabolite produced during a metabolic reaction in animals that include diverse creatures from sponges, insects to mammals."	
<http://purl.obolibrary.org/obo/CHEBI_26835>		
<http://purl.obolibrary.org/obo/FBcv_0007545>	"Phenotype that is a decrease in any kind of rate (e.g. speed, frequency) of proboscis extension reflex (GO:0007637). 'proboscis extension reflex' is defined as: 'The extension, through direct muscle actions, of the proboscis (the trunk-like extension of the mouthparts on the adult external head) in response to a nutritional stimulus.'."	
<http://purl.obolibrary.org/obo/CHEBI_33659>		
<http://purl.obolibrary.org/obo/FBcv_0000310>	"Phenotype only expressed in some subset of the temperature range within which wild-type animals are viable."	
<http://purl.obolibrary.org/obo/FBcv_0000699>	"Embryonic/larval segmentation phenotype that is the complete or partial loss of alternate segments or parasegments."	
<http://purl.obolibrary.org/obo/FBcv_0000381>	"Genotype g1 is a suppressor of variegation if, and only if, some genotype g2 has a variegated phenotype and the degree of variegation caused by g1g2 is less than that caused by to g2 alone."	
<http://purl.obolibrary.org/obo/FBcv_0000535>	"An N-nitroguanidine compound having nitroso and methyl substituents at the N'-position (from CHEBI)."	
<http://purl.obolibrary.org/obo/FBcv_0000159>		
<http://purl.obolibrary.org/obo/FBcv_0000696>	"An allele that makes either increased amounts of a normal gene product or a gene product with normal function but increased activity compared to wild-type."	
<http://purl.obolibrary.org/obo/FBcv_0000026>		
<http://purl.obolibrary.org/obo/CHEBI_64382>	"Any organic salt prepared using an organosulfonic acid as the acid component."	
<http://purl.obolibrary.org/obo/FBcv_0000550>	"A uridine having a bromo substituent at the 5-position (from CHEBI)."	
<http://purl.obolibrary.org/obo/FBcv_0007517>	"Phenotype that is an increase in the efficacy of memory (GO:0007613) relative to controls. 'memory' is defined as: 'The activities involved in the mental information processing system that receives (registers), modifies, stores, and retrieves informational stimuli. The main stages involved in the formation and retrieval of memory are encoding (processing of received information by acquisition), storage (building a permanent record of received information as a result of consolidation) and retrieval (calling back the stored information and use it in a suitable way to execute a given task).'"	
<http://purl.obolibrary.org/obo/FBcv_0003147>	"An inbred strain is subjected to artificial laboratory selection of some trait over the course of several generations."	
<http://purl.obolibrary.org/obo/FBcv_0000038>	"Qualifier that describes the spatial characteristics of a phenotype or expression pattern relative to the position of another entity."	"PATO:0001631"
<http://purl.obolibrary.org/obo/FBcv_0000060>	"Restricted to dorso-lateral region of some specified type."	
<http://purl.obolibrary.org/obo/FBcv_0005056>	"Sequence that forms part of the gene product encoded by a transgenic locus or modified endogenous locus and which allows the tagged gene product to be cleaved (broken into smaller molecules by the rupture of a covalent bond) by a specific process."	
<http://purl.obolibrary.org/obo/FBcv_0009013>	"A sample in which a biological specimen has been separated into individual cells by using non-enzymatic chemicals."	"EFO:0011026"
<http://purl.obolibrary.org/obo/FBcv_0007030>	"Sequence that has a property that allows specific binding to another macromolecule, where this property can be regulated in response to a particular stimulus."	
<http://purl.obolibrary.org/obo/FBcv_0000726>	"Expressed in virgin females."	
<http://purl.obolibrary.org/obo/CHEBI_59202>	"Any fatty acid whose skeletal carbon atoms form an unbranched open chain."	
<http://purl.obolibrary.org/obo/FBcv_0000074>	"Position in the egg or pre-gastrula embryo expressed as a percentage of egg length, where 0% corresponds to the posterior tip and 100% to the anterior tip."	
<http://purl.obolibrary.org/obo/FBcv_0000158>		
<http://purl.obolibrary.org/obo/CHEBI_25240>	"A member of the class of flavanones that consists of flavanone with one or more methoxy substituents."	
<http://purl.obolibrary.org/obo/FBcv_0007509>	"Phenotype that is an increase in any kind of rate (e.g. speed, frequency) of phototaxis (GO:0042331). 'phototaxis' is defined as: 'The directed movement of a motile cell or organism in response to light.'"	
<http://purl.obolibrary.org/obo/CHEBI_33937>	"Any nutrient required in large quantities by organisms throughout their life in order to orchestrate a range of physiological functions. Macronutrients are usually chemical elements (carbon, hydrogen, nitrogen, oxygen, phosphorus and sulfur) that humans consume in the largest quantities. Calcium, sodium, magnesium and potassium are sometimes included as macronutrients because they are required in relatively large quantities compared with other vitamins and minerals."	
<http://purl.obolibrary.org/obo/FBcv_0003174>	"Neuronal activity that has been perturbed using genetically controlled agents to activate or depress membrane potential."	
<http://purl.obolibrary.org/obo/FBcv_0003227>	"A unit of expression (reads per kilobase per million reads) in which high-throughput sequencing reads mapping to a given feature are normalized both to the size of that feature and to the total number of reads in the sample."	
<http://purl.obolibrary.org/obo/FBcv_0000445>	"Phenotype that is characterized by the formation of abnormal masses of tissue (tumors) as the result of neoplasia."	
<http://purl.obolibrary.org/obo/FBcv_0007001>	"A version of a scientific manuscript that is shared publicly on the web without peer review. In most cases, work posted as a preprint will be submitted for peer review at a journal."	
<http://purl.obolibrary.org/obo/FBcv_0003191>	"The biosample that is enriched for a specific biomolecule type for further processing."	
<http://purl.obolibrary.org/obo/FBcv_0003081>	"An assay of genomic sequence that generates a large number of random genomic sequences, typically derived from paired-end sequencing of genomic fragments, that together give a complete (albeit scrambled) representation of the entire genome."	
<http://purl.obolibrary.org/obo/FBcv_0000768>	"An allele that has been shown by molecular evidence to make a gene product that is antagonistic to the function of the wild-type gene product at high temperatures but not lower temperatures."	
<http://purl.obolibrary.org/obo/FBcv_0005035>	"A peptide sequence used to target a tagged protein for export from the nucleus to the cytoplasm."	"SO:0001531"
<http://purl.obolibrary.org/obo/CHEBI_26833>		"WebElements:S KEGG:C00087 KEGG:D06527 PPDB:605"
<http://purl.obolibrary.org/obo/FBcv_0003156>	"A sample that contains a transfected agent which is not incorporated into the genome."	
<http://purl.obolibrary.org/obo/FBcv_0000028>		
<http://purl.obolibrary.org/obo/FBcv_0003180>	"The isolation of small RNA species 17-35 nt in size."	
<http://purl.obolibrary.org/obo/FBcv_0000464>		
<http://purl.obolibrary.org/obo/FBcv_0000331>		
<http://purl.obolibrary.org/obo/FBcv_0007014>	"Sequence that forms all or part of the gene product encoded by a transgenic locus or modified endogenous locus and that confers a specific property used to ablate a specific cell or anatomical structure, where this property can be regulated in response to a particular stimulus."	
<http://purl.obolibrary.org/obo/CHEBI_24431>	"A chemical entity is a physical entity of interest in chemistry including molecular entities, parts thereof, and chemical substances."	
<http://purl.obolibrary.org/obo/FBcv_0002024>	"A phenotype of a population that is the death of a significant proportion of animals in that population during the third instar larval stage."	
<http://purl.obolibrary.org/obo/FBcv_0000398>	"Phenotype that is any abnormality in memory (GO:0007613). 'memory' is defined as: 'The activities involved in the mental information processing system that receives (registers), modifies, stores, and retrieves informational stimuli. The main stages involved in the formation and retrieval of memory are encoding (processing of received information by acquisition), storage (building a permanent record of received information as a result of consolidation) and retrieval (calling back the stored information and use it in a suitable way to execute a given task).'"	
<http://purl.obolibrary.org/obo/FBcv_0002011>	"A phenotype of a population that is the death of the majority of animals in that population during the first instar larval stage."	
<http://purl.obolibrary.org/obo/CHEBI_23128>	"Any haloalkane that consists of an alkane substituted by at least one chloro group."	
<http://purl.obolibrary.org/obo/CHEBI_33246>	"Any substituent group which does not contain carbon."	
<http://purl.obolibrary.org/obo/FBcv_0003182>	"Material that is derived from the isolation of proteins."	
<http://purl.obolibrary.org/obo/FBcv_0000330>		
<http://purl.obolibrary.org/obo/FBcv_0000066>	"Restricted to proximal region of some specified type."	
<http://purl.obolibrary.org/obo/CHEBI_23239>		
<http://purl.obolibrary.org/obo/FBcv_0000112>	"30-80% of egg length from the posterior tip (0%) of the egg or pre-gastrula embryo."	
<http://purl.obolibrary.org/obo/CHEBI_27314>	"Any vitamin that dissolves in water and readily absorbed into tissues for immediate use. Unlike the fat-soluble vitamins, they are not stored in the body and need to be replenished regularly in the diet and will rarely accumulate to toxic levels since they are quickly excreted from the body via urine."	
<http://purl.obolibrary.org/obo/CHEBI_33745>		
<http://purl.obolibrary.org/obo/CHEBI_25367>	"Any polyatomic entity that is an electrically neutral entity consisting of more than one atom."	
<http://purl.obolibrary.org/obo/CHEBI_50860>	"Any molecular entity that contains carbon."	
<http://purl.obolibrary.org/obo/CHEBI_26834>		
<http://purl.obolibrary.org/obo/FBcv_0002003>	"A phenotype of a population that is the death of all animals in that population at some stage or stages before the end of the second instar larval stage."	
<http://purl.obolibrary.org/obo/FBcv_0000533>	"A methanesulfonate ester resulting from the formal condensation of methanesulfonic acid with methanol (from CHEBI)."	
<http://purl.obolibrary.org/obo/FBcv_0009048>	"Non-functional fragment of a protein detection tool. A functional protein detection tool can be reconstituted when complementary split protein detection tool fragments are brought together in vivo, for example by fusing the fragments to peptides that physically interact."	
<http://purl.obolibrary.org/obo/FBcv_0000027>		
<http://purl.obolibrary.org/obo/FBcv_0000226>	"A diagram that is designed to be touched, rather than looked at. These are generally made for use by blind or visually impaired people."	
<http://purl.obolibrary.org/obo/FBcv_0000483>	"Mutation induced by the mobilization of a transposable element."	
<http://purl.obolibrary.org/obo/CHEBI_39142>	"A molecular entity capable of accepting a hydron from a donor (Bronsted acid)."	
<http://purl.obolibrary.org/obo/CHEBI_35175>		
<http://purl.obolibrary.org/obo/CHEBI_35573>		
<http://purl.obolibrary.org/obo/CHEBI_36358>	"An ion consisting of more than one atom."	
<http://purl.obolibrary.org/obo/CHEBI_50684>	"A reagent with two reactive groups, usually at opposite ends of the molecule, that are capable of reacting with and thereby forming bridges between macromolecules, principally side chains of amino acids in proteins, allowing the locations of naturally reactive areas within the proteins to be identified."	
<http://purl.obolibrary.org/obo/CHEBI_38517>	"A specific group of isoquinoline alkaloids that occur only in higher plants and are constituents mainly of the Papaveraceae family."	
<http://purl.obolibrary.org/obo/FBcv_0000703>	"Embryonic/larval segmentation phenotype that is the complete loss of a contiguous stretch of 2 or more segments."	
<http://purl.obolibrary.org/obo/FBcv_0000543>	"No definition for CHEBI:37595."	
<http://purl.obolibrary.org/obo/CHEBI_24868>		
<http://purl.obolibrary.org/obo/FBcv_0000454>		
<http://purl.obolibrary.org/obo/FBcv_0003153>	"A sample that is maintained in conditions with a specific cycle that included exposure to both light and darkness."	
<http://purl.obolibrary.org/obo/FBcv_0000321>		
<http://purl.obolibrary.org/obo/FBcv_0003063>	"An assay of 5'-capped transcripts using the orthogonal approaches of reverse transcriptase template-switching and cap-trapping, with subsequent characterization by high-throughput sequencing."	
<http://purl.obolibrary.org/obo/CHEBI_26823>	"Any sulfurous acid derivative that is a salt or an ester of sulfurous acid."	"Wikipedia:Sulfite"
<http://purl.obolibrary.org/obo/CHEBI_85046>	"Any cosmetic used to lighten the colour of skin by reducing the concentration of melanin."	"Wikipedia:Skin_whitening"
<http://purl.obolibrary.org/obo/CHEBI_36336>		
<http://purl.obolibrary.org/obo/FBcv_0000584>	"An aldehyde resulting from the formal oxidation of methanol (from CHEBI)."	
<http://purl.obolibrary.org/obo/CHEBI_34873>	"A nitrosamine that is N-ethylethanamine substituted by a nitroso group at the N-atom."	"KEGG:C14422"
<http://purl.obolibrary.org/obo/FBcv_0007524>	"Phenotype that is a decrease in the efficacy of anesthesia-resistant memory (GO:0007615) relative to controls. 'anesthesia-resistant memory' is defined as: 'The memory process that results in the formation of consolidated memory resistant to disruption of the patterned activity of the brain, without requiring protein synthesis.'"	
<http://purl.obolibrary.org/obo/FBcv_0003128>	"A project study design investigating the biological mechanisms responsible for the control or maintenance of circadian rhythm."	
<http://purl.obolibrary.org/obo/CHEBI_33839>	"A macromolecule is a molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."	"Wikipedia:Macromolecule"
<http://purl.obolibrary.org/obo/FBcv_0009011>	"A sample in which a biological specimen has been separated into individual cells by applying mechanical forces."	"EFO:0009129"
<http://purl.obolibrary.org/obo/FBcv_0003103>	"A result that represents a set of RNA-RNA interactions for a given sample."	
<http://purl.obolibrary.org/obo/FBcv_0003086>	"The result of reconstruction of the genome achieved by aligning and merging smaller fragments."	
<http://purl.obolibrary.org/obo/FBcv_0009028>	"Non-functional fragment of a transcriptional activator ('driver') that can be used to reconstitute a functional transcription driver when brought together in vivo with a complementary split driver fragment, where the process that brings the complementary fragments together can be regulated in response to a particular stimulus."	
<http://purl.obolibrary.org/obo/CHEBI_138103>	"A Bronsted acid derived from one or more inorganic compounds. Inorganic acids (also known as mineral acids) form hydrons and conjugate base ions when dissolved in water."	"Wikipedia:Mineral_acid"
<http://purl.obolibrary.org/obo/FBcv_0003076>	"An assay that tests proteins pairwise for interaction by fusing each to separate, complementary domains of some protein, usually a transcription factor. Upon interaction, the proximity of the complementary domains generates reporter activity."	
<http://purl.obolibrary.org/obo/FBcv_0007516>	"Phenotype that is a decrease in the total amount or frequency of feeding behavior (GO:0007631) over a given time interval, compared to wild-type. 'feeding behavior' is defined as: 'Behavior associated with the intake of food.'"	
<http://purl.obolibrary.org/obo/FBcv_0005069>	"An enhancer trap cassette is designed to report or utilize the expression of endogenous enhancer elements upon integration of the cassette into the genome. The basic components of an enhancer trap cassette are a minimal promoter element fused upstream of a gene. Upon integration into the genome, a neighboring genomic enhancer may activate expression of the gene encoded by the enhancer trap cassette. Depending on the nature of this gene, the insertion may directly report the expression pattern of the 'trapped' enhancer (e.g. if the gene encodes a reporter enzyme or fluorescent protein), or it may be used to drive expression of any gene of interest (e.g. if the gene encodes a driver that forms part of a binary expression system). An enhancer trap cassette may be inserted into a genome as part of a transgenic construct via transposable-element-mediated transgenesis, or may be inserted directly into a modified endogenous locus via a genome engineering method such as homologous recombination or CRISPR. An enhancer trap insertion can be mutagenic, disrupting the function of an endogenous locus, depending on the particular insertion site."	"SO:0001479"
<http://purl.obolibrary.org/obo/FBcv_0003075>	"An assay that identifies the molecules that interact with a particular bait factor by mass spectrometry."	
<http://purl.obolibrary.org/obo/CHEBI_38632>	"Any agent that affects the transport of molecular entities across a biological membrane."	
<http://purl.obolibrary.org/obo/CHEBI_75763>	"Any  metabolite produced during a metabolic reaction in eukaryotes, the taxon that include members of the fungi, plantae and animalia kingdoms."	
<http://purl.obolibrary.org/obo/CHEBI_24867>		
<http://purl.obolibrary.org/obo/FBcv_0000560>	"No definition for CHEBI:23705."	
<http://purl.obolibrary.org/obo/FBcv_0000090>	"10-40% of egg length from the posterior tip (0%) of the egg or pre-gastrula embryo."	
<http://purl.obolibrary.org/obo/FBcv_0000453>		
<http://purl.obolibrary.org/obo/FBcv_0002015>	"A phenotype of a population that is the death of some significant proportion of animals in that population prior to becoming a mature adult, where mature is defined as after adult stage A3 (FBdv:00006012)."	
<http://purl.obolibrary.org/obo/CHEBI_78616>	"Any organooxygen compound that is a polyhydroxy-aldehyde or -ketone, or a compound derived from one. Carbohydrates contain only carbon, hydrogen and oxygen and usually have an empirical formula Cm(H2O)n; carbohydrate derivatives may contain other elements by substitution or condensation."	
<http://purl.obolibrary.org/obo/FBcv_0000772>	"An allele that, is inferred to make a gene product with a novel function or expression pattern compared to wild-type at some temperatures (non-permissive temperatures) but not others (permissive temperatures) based on the evidence that the phenotype at the non-permissive temperature is unaffected by extra or fewer doses of the wild-type gene."	
<http://purl.obolibrary.org/obo/FBcv_0005075>	"Sequence that forms all or part of a transgenic locus or modified endogenous locus and which can be used to an modify an organism's genetic material in a defined manner. Genome engineering can occur on many levels, ranging from targeting of an individual gene with a small modification through to the engineering of chromosomal rearrangements. In addition to the manipulation of endogenous loci, genome engineering can also be used to introduce exogenous material into the genome, and to manipulate such exogenous material already introduced the genome."	
<http://purl.obolibrary.org/obo/FBcv_0000526>	"Any chemical (FBcv:0000525) that has role some alkylating agent (CHEBI:22333)."	
<http://purl.obolibrary.org/obo/FBcv_0003095>	"An analysis that results in the identification of discrete A-to-I RNA editing sites."	
<http://purl.obolibrary.org/obo/FBcv_0000580>	"An ether in which the oxygen atom is linked to two ethyl groups (from CHEBI)."	
<http://purl.obolibrary.org/obo/CHEBI_36688>		
<http://purl.obolibrary.org/obo/CHEBI_26822>	"Any sulfur molecular entity that involves either covalently bonded or anionic sulfur."	
<http://purl.obolibrary.org/obo/FBcv_0000279>	"Publication in the Turkish language."	
<http://purl.obolibrary.org/obo/FBcv_0000751>	"An allele that, at some temperatures but not others, makes a gene product that is functionally equivalent to wild-type but in a lesser amount or with lowered activity."	
<http://purl.obolibrary.org/obo/CHEBI_72730>	"A member of the class of flavanones having one or more glycosyl residues attached at unspecified positions."	
<http://purl.obolibrary.org/obo/CHEBI_26401>	"A class of imidazopyrimidines that consists of purine and its substituted derivatives."	
<http://purl.obolibrary.org/obo/CHEBI_28694>		"KEGG:C00070 WebElements:Cu"
<http://purl.obolibrary.org/obo/FBcv_0000548>	"A molecule that can substitute for a normal nucleobase in nucleic acids (from CHEBI)."	
<http://purl.obolibrary.org/obo/FBcv_0000757>	"An allele shown by molecular evidence to make a normal gene product in normal amounts at some temperatures, but at other temperatures to make a gene product that is functionally equivalent to wild-type but in a lesser amount or with lowered activity."	
<http://purl.obolibrary.org/obo/CHEBI_33259>	"A molecular entity all atoms of which have the same atomic number."	
<http://purl.obolibrary.org/obo/FBcv_0007548>	"Phenotype that is a decrease in any kind of rate (e.g. speed, frequency) of adult walking behavior (GO:0007628). 'adult walking behavior' is defined as: 'The behavior of an adult relating to the progression of that organism along the ground by the process of lifting and setting down each leg.'."	
<http://purl.obolibrary.org/obo/FBcv_0000770>	"An allele that, at some high temperatures but not lower temperatures, makes a gene product with a novel function or expression pattern compared to wild-type."	
<http://purl.obolibrary.org/obo/FBcv_0003146>	"Growth conditions and treatments used to culture the organism prior to biosample isolation."	
<http://purl.obolibrary.org/obo/FBcv_0000674>		
